date,completed,created,open_backlog
2026-07-21,9,12,21
2026-07-22,7,10,24
2026-07-23,9,10,25
2026-07-24,10,13,28
2026-07-25,1,4,31
2026-07-26,2,2,31
2026-07-27,9,13,35
2026-07-28,9,9,35
2026-07-29,9,8,34
2026-07-30,8,10,36
2026-07-31,10,12,38
2026-08-01,4,2,36
2026-08-02,4,7,39
2026-08-03,11,10,38
2026-08-04,10,13,41
2026-08-05,8,6,39
2026-08-06,10,13,42
2026-08-07,8,11,45
2026-08-08,5,8,48
2026-08-09,4,6,50
2026-08-10,9,10,51
2026-08-11,9,11,53
2026-08-12,11,10,52
2026-08-13,10,13,55
2026-08-14,9,10,56
2026-08-15,4,5,57
2026-08-16,5,6,58
2026-08-17,10,11,59
2026-08-18,11,9,57
2026-08-19,11,9,55
2026-08-20,13,12,54
2026-08-21,10,8,52
2026-08-22,4,5,53
2026-08-23,4,6,55
2026-08-24,11,13,57
2026-08-25,12,13,58
2026-08-26,10,13,61
2026-08-27,10,11,62
2026-08-28,10,8,60
2026-08-29,6,9,63
2026-08-30,6,8,65
2026-08-31,11,13,67
