category,priority,status,estimated_minutes,actual_minutes,completed
Writing,urgent,todo,120,191,False
Writing,low,review,60,49,False
Engineering,medium,review,120,149,False
Engineering,high,completed,15,20,True
Writing,low,completed,90,88,True
Engineering,low,completed,60,76,True
Writing,medium,review,30,25,False
Research,urgent,review,45,48,False
Engineering,medium,completed,60,49,True
Engineering,urgent,completed,15,21,True
Engineering,high,completed,45,42,True
Engineering,medium,todo,90,95,False
Ops,high,completed,30,35,True
Writing,low,completed,45,53,True
Research,low,completed,45,18,True
Ops,high,completed,30,33,True
Writing,high,completed,90,82,True
Research,medium,completed,60,44,True
Engineering,medium,completed,15,15,True
Engineering,high,completed,120,149,True
Engineering,high,completed,90,110,True
Research,high,completed,30,37,True
Writing,medium,completed,90,87,True
Engineering,medium,in_progress,15,10,False
Writing,medium,completed,120,129,True
Engineering,high,completed,60,86,True
Ops,high,completed,60,82,True
Writing,medium,completed,15,16,True
Writing,medium,completed,90,89,True
Engineering,medium,completed,15,21,True
Ops,high,review,30,38,False
Engineering,high,completed,30,36,True
Engineering,low,completed,60,45,True
Engineering,low,completed,30,21,True
Personal,medium,completed,90,58,True
Personal,low,completed,60,43,True
Ops,high,todo,15,19,False
Engineering,medium,in_progress,15,15,False
Personal,low,completed,15,14,True
Research,urgent,completed,45,50,True
Ops,low,completed,60,67,True
Writing,medium,completed,30,32,True
Engineering,low,todo,90,80,False
Engineering,low,completed,15,12,True
Personal,low,completed,60,62,True
Writing,low,review,90,87,False
Engineering,low,completed,60,36,True
Engineering,low,completed,60,54,True
Ops,medium,in_progress,90,88,False
Engineering,high,completed,15,16,True
Research,medium,completed,30,29,True
Research,medium,completed,30,18,True
Ops,medium,review,45,55,False
Writing,high,completed,60,93,True
Ops,high,completed,60,73,True
Ops,low,completed,90,90,True
Ops,medium,completed,30,12,True
Engineering,medium,in_progress,60,40,False
Writing,medium,completed,30,26,True
Engineering,medium,completed,30,21,True
Writing,medium,completed,60,65,True
Engineering,low,todo,120,163,False
Engineering,medium,completed,45,30,True
Engineering,medium,in_progress,15,11,False
Ops,low,completed,45,44,True
Engineering,high,completed,15,25,True
Personal,low,todo,90,59,False
Ops,urgent,in_progress,60,80,False
Engineering,low,completed,30,40,True
Ops,high,in_progress,15,14,False
Engineering,urgent,completed,30,30,True
Personal,urgent,completed,120,142,True
Writing,high,todo,45,52,False
Research,high,completed,60,88,True
Engineering,high,todo,60,80,False
Writing,high,completed,45,40,True
Writing,low,todo,30,31,False
Personal,medium,completed,120,95,True
Ops,medium,completed,30,36,True
Writing,high,completed,45,51,True
Engineering,medium,completed,60,47,True
Engineering,medium,completed,60,62,True
Writing,high,completed,120,174,True
Writing,medium,completed,30,31,True
Engineering,low,completed,45,25,True
Research,medium,completed,45,47,True
Personal,medium,in_progress,45,31,False
Engineering,medium,review,15,15,False
Writing,medium,in_progress,30,18,False
Engineering,medium,completed,30,31,True
Ops,medium,in_progress,30,22,False
Engineering,medium,completed,45,29,True
Ops,high,completed,45,65,True
Research,medium,completed,60,58,True
Research,urgent,todo,45,52,False
Engineering,urgent,completed,45,72,True
Personal,medium,completed,30,25,True
Engineering,medium,todo,45,42,False
Engineering,medium,completed,30,29,True
Writing,high,completed,15,17,True
Engineering,high,review,45,62,False
Research,high,completed,45,52,True
Research,medium,completed,30,25,True
Engineering,high,in_progress,45,71,False
Personal,medium,in_progress,45,31,False
Engineering,high,completed,60,45,True
Writing,medium,todo,60,76,False
Engineering,high,completed,60,110,True
Personal,high,completed,30,36,True
Engineering,low,completed,60,30,True
Engineering,high,completed,45,55,True
Writing,low,review,45,39,False
Personal,high,in_progress,60,74,False
Personal,low,completed,30,20,True
Research,urgent,completed,45,63,True
Personal,low,completed,60,62,True
Personal,urgent,review,90,86,False
Writing,high,completed,90,129,True
Engineering,medium,completed,45,62,True
Research,high,completed,45,59,True
Ops,high,completed,60,72,True
Engineering,urgent,in_progress,30,37,False
Engineering,medium,todo,90,95,False
Research,medium,completed,45,24,True
Engineering,low,todo,15,14,False
Personal,high,review,15,18,False
Engineering,low,completed,90,119,True
Engineering,medium,completed,15,13,True
Research,medium,completed,30,39,True
Engineering,medium,review,30,20,False
Engineering,medium,completed,30,31,True
Ops,high,completed,30,41,True
Research,high,completed,60,65,True
Engineering,medium,review,15,14,False
Engineering,medium,completed,90,107,True
Research,urgent,todo,90,109,False
Personal,low,completed,30,16,True
Writing,low,todo,30,27,False
Engineering,low,completed,45,32,True
Engineering,high,completed,15,18,True
Engineering,medium,in_progress,30,27,False
Engineering,high,todo,120,109,False
Ops,high,completed,120,111,True
Engineering,medium,completed,60,62,True
Writing,urgent,todo,30,35,False
Ops,high,in_progress,60,43,False
Ops,medium,completed,60,66,True
Engineering,medium,completed,30,29,True
Research,medium,review,60,46,False
Ops,low,review,15,9,False
Research,low,todo,30,33,False
Engineering,urgent,completed,45,61,True
Engineering,medium,completed,30,43,True
Personal,medium,review,30,30,False
Writing,high,review,90,123,False
Engineering,medium,in_progress,120,106,False
Writing,urgent,completed,45,66,True
Ops,high,completed,90,128,True
Personal,medium,review,120,143,False
Engineering,medium,completed,30,24,True
