antecedent,consequent,antecedent_str,consequent_str,rule_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"['Organic Bananas', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Strawberry Jam']",Organic Bananas + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Strawberry Jam,Organic Bananas + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Strawberry Jam,0.0362,0.7495,6.069,0.0302,3.499,0.0483,0.1235
"['Creamy Peanut Butter', 'Organic Bananas']","['Artisanal Sourdough Bread', 'Organic Strawberry Jam']",Creamy Peanut Butter + Organic Bananas,Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas ➔ Artisanal Sourdough Bread + Organic Strawberry Jam,0.0615,0.7649,5.916,0.0511,3.704,0.0804,0.1293
"['Artisanal Sourdough Bread', 'Organic Strawberry Jam']","['Creamy Peanut Butter', 'Organic Bananas']",Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas,Artisanal Sourdough Bread + Organic Strawberry Jam ➔ Creamy Peanut Butter + Organic Bananas,0.0615,0.4756,5.916,0.0511,1.754,0.1293,0.0804
"['Creamy Peanut Butter', 'Sea Salt Kettle Chips']","['Organic Bananas', 'Organic Strawberry Jam']",Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips ➔ Organic Bananas + Organic Strawberry Jam,0.0362,0.4751,5.887,0.0301,1.751,0.0762,0.0807
"['Organic Bananas', 'Organic Strawberry Jam']","['Creamy Peanut Butter', 'Sea Salt Kettle Chips']",Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Bananas + Organic Strawberry Jam ➔ Creamy Peanut Butter + Sea Salt Kettle Chips,0.0362,0.4486,5.887,0.0301,1.675,0.0807,0.0762
"['Organic Strawberry Jam', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Bananas']",Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Bananas,0.0362,0.472,5.87,0.03,1.742,0.0767,0.0804
"['Creamy Peanut Butter', 'Organic Bananas']","['Organic Strawberry Jam', 'Sea Salt Kettle Chips']",Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Bananas ➔ Organic Strawberry Jam + Sea Salt Kettle Chips,0.0362,0.4502,5.87,0.03,1.679,0.0804,0.0767
"['Creamy Peanut Butter', 'Sea Salt Kettle Chips']","['Artisanal Sourdough Bread', 'Organic Strawberry Jam']",Creamy Peanut Butter + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Organic Strawberry Jam,0.0577,0.7572,5.856,0.0478,3.586,0.0762,0.1293
"['Artisanal Sourdough Bread', 'Organic Strawberry Jam']","['Creamy Peanut Butter', 'Sea Salt Kettle Chips']",Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Organic Strawberry Jam ➔ Creamy Peanut Butter + Sea Salt Kettle Chips,0.0577,0.4462,5.856,0.0478,1.668,0.1293,0.0762
"['Creamy Peanut Butter', 'Organic Bananas']","['Organic Strawberry Jam', 'Organic Whole Milk']",Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter + Organic Bananas ➔ Organic Strawberry Jam + Organic Whole Milk,0.0399,0.4963,5.798,0.033,1.815,0.0804,0.0856
"['Organic Strawberry Jam', 'Organic Whole Milk']","['Creamy Peanut Butter', 'Organic Bananas']",Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam + Organic Whole Milk ➔ Creamy Peanut Butter + Organic Bananas,0.0399,0.4661,5.798,0.033,1.722,0.0856,0.0804
