transaction_id,item,dept
0,72% Dark Chocolate Bar,Snacks
0,Artisanal Sourdough Bread,Bakery & Deli
0,Extra Virgin Olive Oil,Pantry
0,Grated Parmesan Cheese,Pantry
0,Roma Tomatoes,Produce
0,Slow-Simmered Marinara,Pantry
1,Artisanal Sourdough Bread,Bakery & Deli
1,Creamy Peanut Butter,Pantry
1,Organic Bananas,Produce
1,Organic Hass Avocados,Produce
1,Organic Strawberry Jam,Pantry
1,Organic Whole Milk,Dairy & Eggs
1,Sea Salt Kettle Chips,Snacks
2,Espresso Roast Coffee Beans,Beverages
2,Extra Virgin Olive Oil,Pantry
2,Organic Baby Spinach,Produce
2,Organic Hass Avocados,Produce
2,Roma Tomatoes,Produce
2,Sparkling Mineral Water,Beverages
3,Artisanal Sourdough Bread,Bakery & Deli
3,Brioche Sandwich Buns,Bakery & Deli
3,Extra Virgin Olive Oil,Pantry
3,Grated Parmesan Cheese,Pantry
3,Penne Rigate Pasta,Pantry
3,Slow-Simmered Marinara,Pantry
4,72% Dark Chocolate Bar,Snacks
4,Artisanal Sourdough Bread,Bakery & Deli
4,Grated Parmesan Cheese,Pantry
4,Organic Bananas,Produce
4,Penne Rigate Pasta,Pantry
4,Slow-Simmered Marinara,Pantry
4,Sparkling Mineral Water,Beverages
5,Artisanal Sourdough Bread,Bakery & Deli
5,Madagascar Vanilla Syrup,Beverages
5,Organic Bananas,Produce
5,Organic Green Tea Bags,Beverages
5,Organic Strawberry Jam,Pantry
5,Organic Whole Milk,Dairy & Eggs
6,Cold Brew Concentrate,Beverages
6,Espresso Roast Coffee Beans,Beverages
6,Grade A Large Pasture Eggs,Dairy & Eggs
6,Madagascar Vanilla Syrup,Beverages
6,Organic Whole Milk,Dairy & Eggs
6,Slow-Simmered Marinara,Pantry
7,Extra Virgin Olive Oil,Pantry
7,Organic Baby Spinach,Produce
7,Organic Hass Avocados,Produce
7,Oven Roasted Turkey Breast,Bakery & Deli
7,Roma Tomatoes,Produce
8,Espresso Roast Coffee Beans,Beverages
8,Fresh Limes,Produce
8,Fresh Organic Cilantro,Produce
8,Mild Chunky Salsa,Pantry
8,Organic Hass Avocados,Produce
8,Organic Tortilla Chips,Pantry
8,Roma Tomatoes,Produce
9,Espresso Roast Coffee Beans,Beverages
9,Grade A Large Pasture Eggs,Dairy & Eggs
9,Organic Baby Spinach,Produce
9,Organic Whole Milk,Dairy & Eggs
9,Roasted Salted Almonds,Snacks
10,Extra Virgin Olive Oil,Pantry
10,Grade A Large Pasture Eggs,Dairy & Eggs
10,Organic Baby Spinach,Produce
10,Organic Hass Avocados,Produce
10,Plain New York Bagels,Bakery & Deli
10,Roma Tomatoes,Produce
10,Sparkling Mineral Water,Beverages
11,72% Dark Chocolate Bar,Snacks
11,Grated Parmesan Cheese,Pantry
11,Honeycrisp Apples,Produce
11,Slow-Simmered Marinara,Pantry
12,Artisanal Sourdough Bread,Bakery & Deli
12,Creamy Peanut Butter,Pantry
12,Grated Parmesan Cheese,Pantry
12,Organic Strawberry Jam,Pantry
12,Organic Whole Milk,Dairy & Eggs
13,Extra Virgin Olive Oil,Pantry
13,Organic Baby Spinach,Produce
13,Oven Roasted Turkey Breast,Bakery & Deli
14,Fresh Limes,Produce
14,Fresh Organic Cilantro,Produce
14,Mild Chunky Salsa,Pantry
14,Organic Hass Avocados,Produce
14,Organic Tortilla Chips,Pantry
15,Artisanal Sourdough Bread,Bakery & Deli
15,Creamy Peanut Butter,Pantry
15,Organic Strawberry Jam,Pantry
15,Organic Whole Milk,Dairy & Eggs
