Model,Fold,Accuracy,F1,ROC-AUC
Logistic regression,1,0.8391608391608392,0.7850467289719626,0.8884297520661157
Logistic regression,2,0.8391608391608392,0.7850467289719626,0.8788223140495868
Logistic regression,3,0.8450704225352113,0.78,0.8714225589225589
Logistic regression,4,0.795774647887324,0.7387387387387387,0.8460648148148148
Logistic regression,5,0.8028169014084507,0.75,0.8865203761755486
Random Forest,1,0.8181818181818182,0.7450980392156863,0.8708677685950414
Random Forest,2,0.8111888111888111,0.7428571428571429,0.887706611570248
Random Forest,3,0.8028169014084507,0.7407407407407407,0.8406986531986531
Random Forest,4,0.823943661971831,0.7572815533980582,0.8668981481481481
Random Forest,5,0.8309859154929577,0.7931034482758621,0.8818181818181818
Gradient Boosting,1,0.8391608391608392,0.7766990291262136,0.9002066115702478
Gradient Boosting,2,0.8181818181818182,0.7346938775510204,0.9114669421487603
Gradient Boosting,3,0.8380281690140845,0.7722772277227723,0.8566919191919192
Gradient Boosting,4,0.8169014084507042,0.7450980392156863,0.8878367003367005
Gradient Boosting,5,0.8591549295774648,0.8148148148148148,0.9137931034482758
Small neural network,1,0.7132867132867133,0.5393258426966292,0.825206611570248
Small neural network,2,0.7552447552447552,0.5882352941176471,0.8007231404958678
Small neural network,3,0.7183098591549296,0.6,0.7466329966329966
Small neural network,4,0.5915492957746479,0.42,0.5933291245791246
Small neural network,5,0.8028169014084507,0.7358490566037735,0.8729362591431558
